Date,Last Price
13/06/2018,379.93
14/06/2018,392.87
15/06/2018,391.98
18/06/2018,390.4
19/06/2018,404.98
20/06/2018,416.76
21/06/2018,415.44
22/06/2018,411.09
25/06/2018,384.48
26/06/2018,399.39
27/06/2018,390.39
28/06/2018,395.42
29/06/2018,391.43
02/07/2018,398.18
03/07/2018,390.52
05/07/2018,398.39
06/07/2018,408.25
09/07/2018,418.97
10/07/2018,415.63
11/07/2018,418.65
12/07/2018,413.5
13/07/2018,395.8
16/07/2018,400.48
17/07/2018,379.48
18/07/2018,375.13
19/07/2018,364.23
20/07/2018,361.05
23/07/2018,362.66
24/07/2018,357.32
25/07/2018,362.87
26/07/2018,363.09
27/07/2018,355.21
30/07/2018,334.96
31/07/2018,337.45
01/08/2018,338.38
02/08/2018,344.5
03/08/2018,343.09
06/08/2018,350.92
07/08/2018,351.83
08/08/2018,347.61
09/08/2018,349.36
10/08/2018,345.87
13/08/2018,341.31
14/08/2018,337.49
15/08/2018,326.4
16/08/2018,322.44
17/08/2018,316.78
20/08/2018,327.73
21/08/2018,338.02
22/08/2018,344.44
23/08/2018,339.17
24/08/2018,358.82
27/08/2018,364.58
28/08/2018,368.49
29/08/2018,368.04
30/08/2018,370.98
31/08/2018,367.68
04/09/2018,363.6
05/09/2018,341.18
06/09/2018,346.46
07/09/2018,348.68
10/09/2018,348.41
11/09/2018,355.93
12/09/2018,369.95
13/09/2018,368.15
14/09/2018,364.56
17/09/2018,350.35
18/09/2018,367.65
19/09/2018,366.96
20/09/2018,365.36
21/09/2018,361.19
24/09/2018,369.61
25/09/2018,369.43
26/09/2018,377.88
27/09/2018,380.71
28/09/2018,374.13
01/10/2018,381.43
02/10/2018,377.14
03/10/2018,377.05
04/10/2018,363.65
05/10/2018,351.35
08/10/2018,349.1
09/10/2018,355.71
10/10/2018,325.89
11/10/2018,321.1
12/10/2018,339.56
15/10/2018,333.13
16/10/2018,346.4
17/10/2018,364.7
18/10/2018,346.71
19/10/2018,332.67
22/10/2018,329.54
23/10/2018,333.16
24/10/2018,301.83
25/10/2018,312.87
26/10/2018,299.83
29/10/2018,284.84
30/10/2018,285.81
31/10/2018,301.78
01/11/2018,317.38
02/11/2018,309.1
05/11/2018,315.44
06/11/2018,310.84
07/11/2018,327.5
08/11/2018,317.92
09/11/2018,303.47
12/11/2018,294.07
13/11/2018,294.4
14/11/2018,286.73
15/11/2018,290.06
16/11/2018,286.21
19/11/2018,270.6
20/11/2018,266.98
21/11/2018,262.13
23/11/2018,258.82
26/11/2018,261.43
27/11/2018,266.63
28/11/2018,282.65
29/11/2018,288.75
30/11/2018,286.13
03/12/2018,290.3
04/12/2018,275.33
06/12/2018,282.88
07/12/2018,265.14
10/12/2018,269.7
11/12/2018,265.32
12/12/2018,274.88
13/12/2018,276.02
14/12/2018,266.84
17/12/2018,262.8
18/12/2018,270.94
19/12/2018,266.77
20/12/2018,260.58
21/12/2018,246.39
24/12/2018,233.88
26/12/2018,253.67
27/12/2018,255.565
28/12/2018,256.08
31/12/2018,267.66
